name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Chicago, IL, United States",2025-05-11,71,45,58.2,71,41.3,57.2,39.3,51.3,0,0,0,,0,0,23,10.9,47.9,1024.5,13.5,9.9,165.9,14.4,9,10,2025-05-11T05:34:15,2025-05-11T20:00:20,0.47,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2025-05-12,78.4,52,65.1,78.4,52,65.1,45.7,51.3,0.008,100,4.17,rain,0,0,17.4,11.3,65.1,1016.1,61.6,9.9,131.8,11.4,9,10,2025-05-12T05:33:10,2025-05-12T20:01:22,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2025-05-13,77.4,61.7,68.6,77.4,61.7,68.6,58.8,71.9,0.001,100,4.17,rain,0,0,17.4,13.3,89,1009.5,78.6,9.9,99.4,8.7,5,10,2025-05-13T05:32:07,2025-05-13T20:02:24,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2025-05-14,78.4,60,67.4,78.4,60,67.4,57.9,72.8,0,0,0,rain,0,0,19.7,12.7,75.7,1006.7,69.1,8.9,131.4,11.1,8,10,2025-05-14T05:31:06,2025-05-14T20:03:25,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2025-05-15,94.3,60.7,76.8,96.6,60.7,77.8,60.5,60.2,0.05,100,4.17,rain,0,0,44.6,25.9,186,1000.4,47.2,9.8,98.3,8.4,5,75,2025-05-15T05:30:07,2025-05-15T20:04:25,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2025-05-16,87.4,64.6,76.2,84,64.6,75.2,46.9,37.9,0,0,0,rain,0,0,53,31.7,214.4,998.7,31.8,9.2,159.7,13.7,9,30,2025-05-16T05:29:09,2025-05-16T20:05:26,0.64,Partially cloudy,Partly cloudy throughout the day.,wind,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2025-05-17,70.3,54.9,62.5,70.3,54.9,62.5,42.9,49.4,0,0,0,rain,0,0,38.8,22.7,274.9,1003.1,90.9,9.9,60.2,5,4,10,2025-05-17T05:28:12,2025-05-17T20:06:25,0.67,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2025-05-18,62.1,47.8,55.8,62.1,42.9,55.2,43.7,63.9,0,0,0,,0,0,18.3,12.5,31.5,1014.2,50.5,9.9,72.8,6.3,2,10,2025-05-18T05:27:18,2025-05-18T20:07:24,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2025-05-19,55.9,45.1,49.4,55.9,38.2,46.5,40.1,70.6,0,0,0,,0,0,26.4,16.3,37.6,1017.7,85.6,9.9,73.3,6.4,4,10,2025-05-19T05:26:25,2025-05-19T20:08:22,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2025-05-20,56.8,49.4,54.2,56.8,43.2,54,48.9,82.6,0.566,100,70.83,rain,0,0,36.9,23.6,95.9,1007.5,99.2,7.9,13.9,1.2,0,10,2025-05-20T05:25:34,2025-05-20T20:09:19,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2025-05-21,53.3,47.9,50.8,53.3,42.6,49.4,47.8,89.7,0.061,100,33.33,rain,0,0,23,12.8,339,1006.6,100,4.5,16.9,1.6,1,10,2025-05-21T05:24:45,2025-05-21T20:10:16,0.81,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KORD,KMDW,F1983,KPWK"
